* File "jean-complete.dat" by Michal Ginsburg
* Based on "jean.dat" from the Stanford GraphBase (C) 1993 Stanford University
* Changes Copyright (C) 2015 Michal Ginsburg, Northwestern University
* This work is licensed under a Creative Commons Attribution 4.0 International License
* http://creativecommons.org/licenses/by/4.0/
* ----------------------
AA Lawyer in Arras's court											Arras lawyer
AM Abbé Mabeuf, curé in Vernon, brother of M. Mabeuf				Abbé Mabeuf
AZ Azelma, daughter of the Thénardiers								Azelma
BA Bahorel, member, Friends of the ABC								Bahorel
BB Babet, member, Patron-Minette									Babet
BC Booking clerk in Arras's court									Booking clerk
BF Babet's girlfriend												Babet's girlfriend
BG Barber encountered by Gavroche									Paris barber
BH Stable boy in Hesdin												Stable boy
BI Bailiff in Arras's court											Bailiff
BJ Brujon, criminal, associate of Patron-Minette					Brujon
BK Baker, visited by Gavroche										Paris baker
BL Blachevelle, Parisian student, lover of Favourite				Blachevelle
BM M. Bamatabois, idler of M-sur-M									Bamatabois
BO Bossuet (Lesgle), member, Friends of the ABC						Bossuet
BQ Basque, manservant to Gillenormand								Basque 
BR Brevet, convict in the galleys with Valjean						Brevet
BS Boatswain on the Orion saved by Valjean							Boatswain
BT Baroness de T-, friend of M. Gillenormand						Baroness de T
BU Mme Burgon (aka Bougon), new concierge at the Gorbeau tenement 	Mme Burgon	
BW Master Bourgaillard, wheelright									Wheelright
BX Bourgeois man in Luxemburg gardens								Bourgeois man
BY Bourgeois man's son												Bourgeois son
BZ Boulatruelle, former convict and road mender in Montfermeil		Boulatruelle
CA Curé in Digne													Curé, Digne
CB Curé in the mountains near Digne									Mountain curé
CC Cochepaille, convict in the galleys with Valjean					Cochepaille
CD Man condemned to death											Condemned to death
CE Coachman of the mail to Arras									Arras coachman 
CF Montfermeuil coachman											Montfermeuil coachman
CG Coachman by Gorbeau tenement										Parisian coachman
CH Champmathieu, accused thief mistaken for Valjean					Champmathieu
CI Cashier at M.Madeleine's manufactory								Cashier
CJ Coachman assisting Javert										Javert's coachman
