Source,Target,Type,Id,Label
"CR","EN","Undirected","1","4.1.6"
"EN","FE","Undirected","2","4.1.6"
"CM","EN","Undirected","3","4.1.6"
"BA","EN","Undirected","4","4.1.6"
"EN","JP","Undirected","5","4.1.6"
"EN","JO","Undirected","6","4.1.6"
"BO","EN","Undirected","7","4.1.6"
"CR","FE","Undirected","8","4.1.6"
"CM","CR","Undirected","9","4.1.6"
"BA","CR","Undirected","10","4.1.6"
"CR","JP","Undirected","11","4.1.6"
"CR","JO","Undirected","12","4.1.6"
"BO","CR","Undirected","13","4.1.6"
"CM","FE","Undirected","14","4.1.6"
"BA","FE","Undirected","15","4.1.6"
"FE","JP","Undirected","16","4.1.6"
"FE","JO","Undirected","17","4.1.6"
"BO","FE","Undirected","18","4.1.6"
"BA","CM","Undirected","19","4.1.6"
"CM","JP","Undirected","20","4.1.6"
"CM","JO","Undirected","21","4.1.6"
"BO","CM","Undirected","22","4.1.6"
"BA","JP","Undirected","23","4.1.6"
"BA","JO","Undirected","24","4.1.6"
"BA","BO","Undirected","25","4.1.6"
"JO","JP","Undirected","26","4.1.6"
"BO","JP","Undirected","27","4.1.6"
"BO","JO","Undirected","28","4.1.6"
"EN","GT","Undirected","29","4.1.6"
"EN","GT","Undirected","30","4.1.6"
"CP","GT","Undirected","31","4.1.6"
"CR","MA","Undirected","32","4.2.1"
"BU","MA","Undirected","33","4.2.1"
"BU","JA","Undirected","34","4.2.1"
"CR","MA","Undirected","35","4.2.1"
"BB","BJ","Undirected","36","4.2.2"
"BJ","GU","Undirected","37","4.2.2"
"BB","GU","Undirected","38","4.2.2"
"BJ","GF","Undirected","39","4.2.2"
"BB","BJ","Undirected","40","4.2.2"
"BB","BF","Undirected","41","4.2.2"
"BF","MN","Undirected","42","4.2.2"
"EP","MN","Undirected","43","4.2.2"
"EP","MN","Undirected","44","4.2.2"
"BB","EP","Undirected","45","4.2.2"
"BB","MN","Undirected","46","4.2.2"
"BB","BJ","Undirected","47","4.2.2"
"MA","MM","Undirected","48","4.2.3"
"EP","MM","Undirected","49","4.2.3"
"EP","MA","Undirected","50","4.2.4"
"CO","JV","Undirected","51","4.3.1"
"JV","TS","Undirected","52","4.3.1"
"CO","TS","Undirected","53","4.3.1"
"CO","JV","Undirected","54","4.3.2"
"JV","TS","Undirected","55","4.3.2"
"CO","TS","Undirected","56","4.3.2"
"CO","JV","Undirected","57","4.3.4"
"CO","TS","Undirected","58","4.3.5"
"CO","JV","Undirected","59","4.3.5"
"JV","TS","Undirected","60","4.3.5"
"CO","JV","Undirected","61","4.3.5"
"CO","MA","Undirected","62","4.3.6"
"JV","MA","Undirected","63","4.3.7"
"CO","JV","Undirected","64","4.3.7"
"JV","PS","Undirected","65","4.3.7"
"JV","MA","Undirected","66","4.3.7"
"CO","JV","Undirected","67","4.3.7"
"CO","JV","Undirected","68","4.3.8"
"CO","JV","Undirected","69","4.4.1"
"MM","PL","Undirected","70","4.4.2"
"GA","MO","Undirected","71","4.4.2"
"GA","JV","Undirected","72","4.4.2"
"JV","MO","Undirected","73","4.4.2"
"GA","MO","Undirected","74","4.4.2"
"GA","MM","Undirected","75","4.4.2"
"MM","PL","Undirected","76","4.4.2"
"CO","TG","Undirected","77","4.5.1"
"CO","JV","Undirected","78","4.5.2"
"CO","TS","Undirected","79","4.5.3"
"CO","MA","Undirected","80","4.5.6"
"MN","TM","Undirected","81","4.6.1"
"MN","XA","Undirected","82","4.6.1"
"MN","XB","Undirected","83","4.6.1"
"GI","MN","Undirected","84","4.6.1"
"XA","XB","Undirected","85","4.6.1"
"GI","XA","Undirected","86","4.6.1"
"GI","XB","Undirected","87","4.6.1"
"TH","TM","Undirected","88","4.6.1"
"MN","XA","Undirected","89","4.6.1"
"MN","XB","Undirected","90","4.6.1"
"XA","XB","Undirected","91","4.6.1"
"EP","MN","Undirected","92","4.6.1"
"XA","XB","Undirected","93","4.6.1"
"BG","GA","Undirected","94","4.6.2"
"XA","XB","Undirected","95","4.6.2"
"BG","XA","Undirected","96","4.6.2"
"BG","XB","Undirected","97","4.6.2"
"GA","XA","Undirected","98","4.6.2"
"GA","XB","Undirected","99","4.6.2"
"XA","XB","Undirected","100","4.6.2"
"GA","XA","Undirected","101","4.6.2"
"GA","XB","Undirected","102","4.6.2"
"XA","XB","Undirected","103","4.6.2"
"GA","GL","Undirected","104","4.6.2"
"BK","GA","Undirected","105","4.6.2"
"GA","MO","Undirected","106","4.6.2"
"GA","XA","Undirected","107","4.6.2"
"GA","XB","Undirected","108","4.6.2"
"XA","XB","Undirected","109","4.6.2"
"GA","MO","Undirected","110","4.6.2"
"BB","BJ","Undirected","111","4.6.3"
"BB","GU","Undirected","112","4.6.3"
"BB","TH","Undirected","113","4.6.3"
"BJ","GU","Undirected","114","4.6.3"
"BJ","TH","Undirected","115","4.6.3"
"GU","TH","Undirected","116","4.6.3"
