Id,Label,Description
"GB","Gibolette","Gibolette, servant in Corinth Inn"
"BJ","Brujon","Brujon, criminal, associate of Patron-Minette"
"MG","Mlle Gillenormand","Mlle Gillenormand, unmarried daughter of Gillenormand"
"BU","Mme Burgon","Mme Burgon (aka Bougon), new concierge at the Gorbeau tenement"
"BB","Babet","Babet, member, Patron-Minette"
"CM","Combeferre","Combeferre, member, Friends of the ABC"
"GI","M. Gillenormand","M. Gillenormand, Marius's grandfather"
"JP","Prouvaire","Prouvaire, member Friends of the ABC"
"MW","Minister's wife","Minister of agriculture's wife"
"GA","Gavroche","Gavroche, son of the Thénardiers"
"MA","Marius","Marius"
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
"OS","Old soldier","Old soldier at barbershop"
"JA","Javert","Javert, police officer"
"GL","Poor girl","Poor girl, helped by Gavroche"
"MM","M. Mabeuf","M. Mabeuf, warden of St. Sulpice, bibliophile"
"NA","Navet","Navet, friend of Gavroche"
"DR","Drunk coachman","Drunk Auvergnat coachman"
"BQ","Basque","Basque, manservant to Gillenormand"
"ML","Matelotte","Matelotte, a servant at the Corinth Inn"
"GU","Gueulemer","Gueulemer, member of Patron-Minette"
"FE","Feuilly","Feuilly, member, Friends of the ABC"
"TG","Théodule","Lieutenant Théodule Gillenormand, grandnephew of Gillenormand"
"PS","Porter, r. de l'Ouest","Porter, rue de l'Ouest"
"BG","Paris barber","Barber encountered by Gavroche"
"DN","Dandy","Dandy near the barricade"
"GV","Government troops","Government troops"
"BF","Babet's girlfriend","Babet's girlfriend"
"RP","Ragpicker","Ragpicker"
"CR","Courfeyrac","Courfeyrac, member, Friends of the ABC"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"JO","Joly","Joly, member Friends of the ABC"
"TH","Thénardier","Thénardier, innkeeper in Montfermeil, aka Jondrette"
"CW","Concierge, Verrerie","Concierge, rue de la Verrerie"
"BK","Paris baker","Baker, visited by Gavroche"
"JV","Jean Valjean","Jean Valjean"
"BA","Bahorel","Bahorel, member, Friends of the ABC"
"CO","Cosette","Cosette, daughter of Fantine"
"PC","Porter, barricade","Porter shot at the barricade by Le Cabuc"
"XB","Younger child","Younger Child, son of Thénardier, raised by Magnon"
"HL","Mme Hucheloup","Mme Hucheloup, keeper of Corinth Inn"
"TC","Three concierges","Three concierges, met by Gvaroche"
"SI","Sergeant, Imprimérie","Sergeant at the Imprimérie Royale post"
"GN","Gardener","Gardener, encountered by Mabeuf"
"MU","Minister of agriculture","Minister of agriculture"
"XA","Older child","Older Child, son of Thénardier, raised by Magnon"
"GS","Secondhand dealer","Secondhand dealer from whom Gavroche 'borrows' a pistol"
"MN","Magnon","Magnon, servant of Gillenormand"
"MO","Montparnasse","Montparnasse, member of Patron-Minette"
"QU","Claquesous","Claquesous, member of Patron-Minette,aka Le Cabuc"
"TS","Toussaint","Toussaint, servant of Valjean at Rue Plumet"
"CP","Card player","Man playing cards with Grantaire"
"BO","Bossuet","Bossuet (Lesgle), member, Friends of the ABC"
"GF","Guard, La Force","Guard, La Force prison"
"GT","Grantaire","Grantaire, Friends of the ABC skeptic"
"PL","Mother Plutarch","Mother Plutarch, housekeeper of M. Mabeuf"
"EN","Enjolras","Enjolras, chief of Friends of the ABC"
