Source,Target,Type,Id,Label
"EN","FE","Undirected","1","5.1.2"
"CM","EN","Undirected","2","5.1.2"
"BO","EN","Undirected","3","5.1.2"
"CR","EN","Undirected","4","5.1.2"
"EN","JO","Undirected","5","5.1.2"
"EN","IW","Undirected","6","5.1.2"
"CM","FE","Undirected","7","5.1.2"
"BO","FE","Undirected","8","5.1.2"
"CR","FE","Undirected","9","5.1.2"
"FE","JO","Undirected","10","5.1.2"
"FE","IW","Undirected","11","5.1.2"
"BO","CM","Undirected","12","5.1.2"
"CM","CR","Undirected","13","5.1.2"
"CM","JO","Undirected","14","5.1.2"
"CM","IW","Undirected","15","5.1.2"
"BO","CR","Undirected","16","5.1.2"
"BO","JO","Undirected","17","5.1.2"
"BO","IW","Undirected","18","5.1.2"
"CR","JO","Undirected","19","5.1.2"
"CR","IW","Undirected","20","5.1.2"
"IW","JO","Undirected","21","5.1.2"
"BO","CM","Undirected","22","5.1.2"
"EN","WA","Undirected","23","5.1.3"
"EN","IW","Undirected","24","5.1.4"
"CM","EN","Undirected","25","5.1.4"
"CM","IW","Undirected","26","5.1.4"
"IW","MA","Undirected","27","5.1.4"
"EN","MA","Undirected","28","5.1.4"
"CM","MA","Undirected","29","5.1.4"
"CR","MA","Undirected","30","5.1.4"
"IW","MA","Undirected","31","5.1.4"
"CM","EN","Undirected","32","5.1.4"
"CR","EN","Undirected","33","5.1.4"
"EN","IW","Undirected","34","5.1.4"
"CM","CR","Undirected","35","5.1.4"
"CM","IW","Undirected","36","5.1.4"
"CR","IW","Undirected","37","5.1.4"
"JV","MA","Undirected","38","5.1.4"
"EN","MA","Undirected","39","5.1.4"
"EN","JV","Undirected","40","5.1.4"
"EN","JA","Undirected","41","5.1.6"
"EN","JA","Undirected","42","5.1.6"
"EN","JV","Undirected","43","5.1.6"
"JA","JV","Undirected","44","5.1.6"
"CR","EN","Undirected","45","5.1.7"
"EN","GV","Undirected","46","5.1.7"
"BO","EN","Undirected","47","5.1.7"
"CM","EN","Undirected","48","5.1.7"
"CR","GV","Undirected","49","5.1.7"
"BO","CR","Undirected","50","5.1.7"
"CM","CR","Undirected","51","5.1.7"
"BO","GV","Undirected","52","5.1.7"
"CM","GV","Undirected","53","5.1.7"
