Id,Label,Description,Name,Abbr,color
1.0,1.0,"M. Myriel, Bishop of Digne",Bishop Myriel,MY,1.0
2.0,2.0,"Napoleon, Emperor of France",Napoleon,NP,1.0
3.0,3.0,"Mlle Baptistine, sister of Myriel",Mlle Baptistine,MB,1.0
4.0,4.0,"Mme Magloire, housekeeper to Myriel",Mme Magloire,ME,1.0
5.0,5.0,Hospital director in Digne,Hospital director,HD,1.0
6.0,6.0,"Mlle Gillenormand, unmarried daughter of Gillenormand",Mlle Gillenormand,MG,2.0
7.0,7.0,Mayor of Senez,Mayor of Senez,MS,1.0
8.0,8.0,"Countess de Lô, distant relative of Myriel",Countess de Lô,CL,1.0
9.0,9.0,"Géborand, retired merchant of Digne",Géborand,GE,1.0
10.0,10.0,"Marquis de Champtercier, ultra-royalist in Digne",Champtercier,MC,1.0
11.0,11.0,Man condemned to death,Condemned to death,CD,1.0
12.0,12.0,Curé in Digne,"Curé, Digne",CA,1.0
13.0,13.0,Mayor of Chastelar,Chastelar mayor,MH,1.0
14.0,14.0,Curé in the mountains near Digne,Mountain curé,CB,1.0
15.0,15.0,"Cravatte, mountain bandit",Cravatte,CV,1.0
16.0,16.0,"Senator, Count ***, in Digne",Senator,SN,1.0
17.0,17.0,"Mme Boischevron, friend and correspondent of Mlle Baptistine",Mme Boischevron,VB,1.0
18.0,18.0,"G--, a Convenionist",Conventionist,GG,1.0
19.0,19.0,"Shepherd boy, serves G-- the conventionist",Shepherd boy,SB,1.0
20.0,20.0,Gendarme in Digne,"Gendarme, Digne",GD,3.0
21.0,21.0,Jean Valjean,Jean Valjean,JV,3.0
22.0,22.0,"Labarre, innkeeper in Digne",Labarre,JL,4.0
23.0,23.0,Kitchen boy at Labarre's inn,Kitchen boy,KB,4.0
24.0,24.0,Tavern keeper in Digne,Tavern keeper,KT,4.0
25.0,25.0,Fisherman in Digne,"Fisherman, Digne",FM,4.0
26.0,26.0,Jailer in the prison of Digne,"Jailer, Digne",JD,3.0
27.0,27.0,"Peasant in Digne, whom Valjean asks for food",Digne peasant,PD,5.0
28.0,28.0,Peasant's wife,Peasant's wife,PE,5.0
29.0,29.0,"Marquise de R-, inhabitant of Digne",Marquise de R,MR,3.0
30.0,30.0,"Jeanne, sister of Valjean",Valjean's sister,JM,6.0
31.0,31.0,"Marie-Claude, neighbor of the Valjeans in Faverolles",Marie-Claude,MD,3.0
32.0,32.0,"Isabeau, baker in Faverolles",Isabeau,IS,3.0
33.0,33.0,Prison guard,Prison guard,PR,3.0
34.0,34.0,Youngest son of Valjean's sister,Sister's son,JN,6.0
35.0,35.0,Door keeper at a Paris bindery,Door keeper,KD,6.0
36.0,36.0,Distillery foreman in Grasse,"Foreman, Grasse",DO,3.0
37.0,37.0,"Three gendarmes, arrested Valjean",Three gendarmes,TR,1.0
38.0,38.0,"Petit Gervais, a chimney sweep",Petit Gervais,PG,3.0
39.0,39.0,A priest on the road from Digne,"Priest, Digne",PH,3.0
40.0,40.0,"Tholomyès, Parisian student, lover of Fantine",Tholomyès,FT,7.0
41.0,41.0,"Listolier, Parisian student, lover of Dahlia",Listolier,LI,7.0
42.0,42.0,"Fameuil, Parisian student, lover of  Zéphine",Fameuil,FA,7.0
43.0,43.0,"Blachevelle, Parisian student, lover of Favourite",Blachevelle,BL,7.0
44.0,44.0,"Favourite, mistress of Blachevelle",Favourite,FV,7.0
45.0,45.0,"Dahlia, mistress of Listolier",Dahlia,DA,7.0
46.0,46.0,"Zephine, mistress of Fameuil",Zephine,ZE,7.0
47.0,47.0,"Fantine, mistress of Tholomyès",Fantine,FN,7.0
48.0,48.0,Waiter at Bombarda,Waiter,WB,7.0
49.0,49.0,"Azelma, daughter of the Thénardiers",Azelma,AZ,8.0
50.0,50.0,"Eponine, daughter of the Thénardiers",Eponine,EP,8.0
51.0,51.0,"Madame Thénardier, wife of Thénardier",Mme Thénardier,TM,8.0
52.0,52.0,"Cosette, daughter of Fantine",Cosette,CO,9.0
