Abbr,Name,color
MY,Bishop Myriel,1.0
NP,Napoleon,1.0
MB,Mlle Baptistine,1.0
ME,Mme Magloire,1.0
HD,Hospital director,1.0
MG,Mlle Gillenormand,1.0
MS,Mayor of Senez,1.0
CL,Countess de Lô,1.0
GE,Géborand,1.0
MC,Champtercier,1.0
CD,Condemned to death,1.0
CA,"Curé, Digne",1.0
MH,Chastelar mayor,1.0
CB,Mountain curé,1.0
CV,Cravatte,1.0
SN,Senator,1.0
VB,Mme Boischevron,1.0
GG,Conventionist,1.0
SB,Shepherd boy,1.0
GD,"Gendarme, Digne",2.0
JV,Jean Valjean,2.0
JL,Labarre,3.0
KB,Kitchen boy,3.0
KT,Tavern keeper,3.0
FM,"Fisherman, Digne",3.0
JD,"Jailer, Digne",2.0
PD,Digne peasant,4.0
PE,Peasant's wife,4.0
MR,Marquise de R,2.0
JM,Valjean's sister,5.0
MD,Marie-Claude,2.0
IS,Isabeau,2.0
PR,Prison guard,2.0
JN,Sister's son,5.0
KD,Door keeper,5.0
DO,"Foreman, Grasse",2.0
TR,Three gendarmes,1.0
PG,Petit Gervais,2.0
PH,"Priest, Digne",2.0
FT,Tholomyès,6.0
LI,Listolier,6.0
FA,Fameuil,6.0
BL,Blachevelle,6.0
FV,Favourite,6.0
DA,Dahlia,6.0
ZE,Zephine,6.0
FN,Fantine,6.0
WB,Waiter,6.0
AZ,Azelma,7.0
EP,Eponine,7.0
TM,Mme Thénardier,7.0
CO,Cosette,7.0
TH,Thénardier,7.0
NT,Thénardiers' neighbor,6.0
DM,Dowager M-s-M,2.0
FF,Fauchelevent,8.0
JA,Javert,8.0
VI,Mme Victurnien,7.0
SF,Factory supervisor,6.0
FD,Furniture seller,6.0
FL,Landlord,6.0
MT,Marguerite,6.0
FB,Barber,6.0
ID,Itinerant dentist,6.0
BM,Bamatabois,9.0
SG,Police sergeant M-s-M,8.0
DS,Doctor M-s-M,10.0
SP,Sister Perpétue,10.0
SS,Sister Simplice,10.0
SC,M. Scaufflaire,11.0
SD,M. Scaufflaire's wife,11.0
CI,Cashier,8.0
PO,"Portress, M-s-M",8.0
CE,Arras coachman,2.0
BH,Stable boy,2.0
BW,Wheelright,2.0
WH,Old woman,2.0
WI,Old woman's son,2.0
IK,Innkeeper's wife,2.0
SE,Saint Pol Servant girl,2.0
TE,German teamster,2.0
RM,Road mender,2.0
PT,Postillion,2.0
SM,Hospital servant,10.0
LR,Arras hotel keeper,2.0
RA,Arras resident,2.0
BC,Booking clerk,2.0
AA,Arras lawyer,2.0
BI,Bailiff,9.0
JU,Judge,9.0
CH,Champmathieu,9.0
CK,Defense counsel,9.0
PA,Prosecuting attorney,9.0
BR,Brevet,9.0
CN,Chenildieu,9.0
CC,Cochepaille,9.0
