Abbr,Name,color
TH,Thénardier,1.0
TM,Mme Thénardier,1.0
EP,Eponine,1.0
AZ,Azelma,1.0
GI,M. Gillenormand,2.0
MN,Magnon,2.0
MG,Mlle Gillenormand,2.0
MV,Mlle Vaubois,2.0
TG,Théodule,2.0
MA,Marius,1.0
BT,Baroness de T,2.0
LA,Count Lamothe,2.0
GP,Colonel Pontmercy,3.0
WP,Pontmercy's servant,3.0
AM,Abbé Mabeuf,3.0
NP,Napoleon,3.0
MP,Mme Pontmercy,3.0
MM,M. Mabeuf,3.0
DV,"Doctor, Vernon",3.0
BO,Bossuet,4.0
CR,Courfeyrac,4.0
BA,Bahorel,4.0
CM,Combeferre,4.0
EN,Enjolras,4.0
GT,Grantaire,4.0
JO,Joly,4.0
CO,Cosette,1.0
PL,Mother Plutarch,3.0
SR,Marius's servant,1.0
JV,Jean Valjean,1.0
BU,Mme Burgon,5.0
JP,Prouvaire,4.0
PS,"Porter, r. de l'Ouest",1.0
GU,Gueulemer,1.0
QU,Claquesous,1.0
CG,Parisian coachman,1.0
PN,Panchaud,1.0
BJ,Brujon,1.0
DU,Deuxmilliards,1.0
JA,Javert,1.0
BZ,Boulatruelle,1.0
BB,Babet,1.0
GA,Gavroche,5.0
