Source,Target,Type,Id,Label
"GP","TH","Undirected","331","2.1.19"
"BZ","TH","Undirected","332","2.2.2"
"TH","TM","Undirected","333","2.3.2"
"CO","TM","Undirected","334","2.3.3"
"PZ","TH","Undirected","335","2.3.3"
"CO","PZ","Undirected","336","2.3.3"
"CO","TM","Undirected","337","2.3.4"
"JV","LP","Undirected","338","2.3.6"
"DH","JV","Undirected","339","2.3.6"
"DH","LP","Undirected","340","2.3.6"
"CO","JV","Undirected","341","2.3.6"
"CF","JV","Undirected","342","2.3.6"
"CO","JV","Undirected","343","2.3.7"
"JV","TM","Undirected","344","2.3.8"
"CO","TM","Undirected","345","2.3.8"
"JV","TM","Undirected","346","2.3.8"
"JV","TH","Undirected","347","2.3.8"
"JV","TM","Undirected","348","2.3.8"
"TH","TM","Undirected","349","2.3.8"
"TH","TM","Undirected","350","2.3.8"
"AZ","EP","Undirected","351","2.3.8"
"EP","TM","Undirected","352","2.3.8"
"CO","TM","Undirected","353","2.3.8"
"JV","TH","Undirected","354","2.3.8"
"JV","TM","Undirected","355","2.3.9"
"JV","TH","Undirected","356","2.3.9"
"JV","TH","Undirected","357","2.3.10"
"CO","JV","Undirected","358","2.4.1"
"CO","JV","Undirected","359","2.4.2"
"CO","JV","Undirected","360","2.4.3"
"JV","LL","Undirected","361","2.4.3"
"JV","LL","Undirected","362","2.4.4"
"CO","LL","Undirected","363","2.4.4"
"CO","JV","Undirected","364","2.4.4"
"JA","JV","Undirected","365","2.4.5"
"CO","JV","Undirected","366","2.4.5"
"JV","LL","Undirected","367","2.4.5"
"CO","JV","Undirected","368","2.5.1"
"CO","JV","Undirected","369","2.5.2"
"JV","KA","Undirected","370","2.5.2"
"CO","JV","Undirected","371","2.5.3"
"CO","JV","Undirected","372","2.5.4"
"CO","JV","Undirected","373","2.5.5"
"CO","JV","Undirected","374","2.5.6"
"CO","JV","Undirected","375","2.5.7"
"FF","JV","Undirected","376","2.5.8"
"FF","JV","Undirected","377","2.5.9"
"JA","TH","Undirected","378","2.5.10"
"JA","LL","Undirected","379","2.5.10"
"JA","JV","Undirected","380","2.5.10"
"FF","JV","Undirected","381","2.8.1"
"FF","MI","Undirected","382","2.8.2"
"FF","MI","Undirected","383","2.8.3"
"FF","JV","Undirected","384","2.8.4"
"CO","JV","Undirected","385","2.8.4"
"FF","GR","Undirected","386","2.8.5"
"FF","GR","Undirected","387","2.8.7"
"FF","JV","Undirected","388","2.8.7"
"FF","MI","Undirected","389","2.8.8"
"FF","JV","Undirected","390","2.8.8"
"JV","MI","Undirected","391","2.8.8"
"FF","JV","Undirected","392","2.8.9"
