Id,Label,Description
"AA","Arras lawyer","Lawyer in Arras's court"
"AM","Abbé Mabeuf","Abbé Mabeuf, curé in Vernon, brother of M. Mabeuf"
"AZ","Azelma","Azelma, daughter of the Thénardiers"
"BA","Bahorel","Bahorel, member, Friends of the ABC"
"BB","Babet","Babet, member, Patron-Minette"
"BC","Booking clerk","Booking clerk in Arras's court"
"BF","Babet's girlfriend","Babet's girlfriend"
"BG","Paris barber","Barber encountered by Gavroche"
"BH","Stable boy","Stable boy in Hesdin"
"BI","Bailiff","Bailiff in Arras's court"
"BJ","Brujon","Brujon, criminal, associate of Patron-Minette"
"BK","Paris baker","Baker, visited by Gavroche"
"BL","Blachevelle","Blachevelle, Parisian student, lover of Favourite"
"BM","Bamatabois","M. Bamatabois, idler of M-sur-M"
"BO","Bossuet","Bossuet (Lesgle), member, Friends of the ABC"
"BQ","Basque","Basque, manservant to Gillenormand"
"BR","Brevet","Brevet, convict in the galleys with Valjean"
"BS","Boatswain","Boatswain on the Orion saved by Valjean"
"BT","Baroness de T","Baroness de T-, friend of M. Gillenormand"
"BU","Mme Burgon","Mme Burgon (aka Bougon), new concierge at the Gorbeau tenement"
"BW","Wheelright","Master Bourgaillard, wheelright"
"BX","Bourgeois man","Bourgeois man in Luxemburg gardens"
"BY","Bourgeois son","Bourgeois man's son"
"BZ","Boulatruelle","Boulatruelle, former convict and road mender in Montfermeil"
"CA","Curé, Digne","Curé in Digne"
"CB","Mountain curé","Curé in the mountains near Digne"
"CC","Cochepaille","Cochepaille, convict in the galleys with Valjean"
"CD","Condemned to death","Man condemned to death"
"CE","Arras coachman","Coachman of the mail to Arras"
"CF","Montfermeuil coachman","Montfermeuil coachman"
"CG","Parisian coachman","Coachman by Gorbeau tenement"
"CH","Champmathieu","Champmathieu, accused thief mistaken for Valjean"
"CI","Cashier","Cashier at M.Madeleine's manufactory"
"CJ","Javert's coachman","Coachman assisting Javert"
"CK","Defense counsel","Counsel for the defense in Champmathieu's trial"
"CL","Countess de Lô","Countess de Lô, distant relative of Myriel"
"CM","Combeferre","Combeferre, member, Friends of the ABC"
"CN","Chenildieu","Chenildieu, convict in the galleys with Valjean"
"CO","Cosette","Cosette, daughter of Fantine"
"CP","Card player","Man playing cards with Grantaire"
"CR","Courfeyrac","Courfeyrac, member, Friends of the ABC"
"CV","Cravatte","Cravatte, mountain bandit"
