Source,Target,Type,Id,Label
MY,NP,Undirected,1,1.1.1
MY,MB,Undirected,2,1.1.1
MY,ME,Undirected,3,1.1.1
MB,ME,Undirected,4,1.1.1
MY,HD,Undirected,5,1.1.2
MY,MB,Undirected,6,1.1.2
MY,MG,Undirected,7,1.1.2
ME,MB,Undirected,8,1.1.2
MY,MB,Undirected,9,1.1.2
MY,MS,Undirected,10,1.1.3
MY,ME,Undirected,11,1.1.4
MY,CL,Undirected,12,1.1.4
MY,GE,Undirected,13,1.1.4
MY,MC,Undirected,14,1.1.4
MY,MB,Undirected,15,1.1.4
MY,CD,Undirected,16,1.1.4
MY,MB,Undirected,17,1.1.5
MY,ME,Undirected,18,1.1.5
MB,ME,Undirected,19,1.1.5
ME,MY,Undirected,20,1.1.6
MY,CA,Undirected,21,1.1.6
MY,MH,Undirected,22,1.1.7
MY,CB,Undirected,23,1.1.7
CV,MY,Undirected,24,1.1.7
MY,MB,Undirected,25,1.1.7
MY,ME,Undirected,26,1.1.7
MB,ME,Undirected,27,1.1.7
SN,MY,Undirected,28,1.1.8
MB,VB,Undirected,29,1.1.9
GG,SB,Undirected,30,1.1.10
MY,GG,Undirected,31,1.1.10
MY,SN,Undirected,32,1.1.14
JV,GD,Undirected,33,1.2.1
JL,JV,Undirected,34,1.2.1
JL,KB,Undirected,35,1.2.1
JL,JV,Undirected,36,1.2.1
JV,KT,Undirected,37,1.2.1
JV,FM,Undirected,38,1.2.1
FM,JL,Undirected,39,1.2.1
FM,KT,Undirected,40,1.2.1
KT,JV,Undirected,41,1.2.1
JV,JD,Undirected,42,1.2.1
JV,PD,Undirected,43,1.2.1
PD,PE,Undirected,44,1.2.1
JV,MR,Undirected,45,1.2.1
MY,ME,Undirected,46,1.2.2
MY,MB,Undirected,47,1.2.2
ME,MB,Undirected,48,1.2.2
JV,ME,Undirected,49,1.2.3
JV,MB,Undirected,50,1.2.3
JV,MY,Undirected,51,1.2.3
ME,MB,Undirected,52,1.2.3
ME,MY,Undirected,53,1.2.3
MB,MY,Undirected,54,1.2.3
MB,VB,Undirected,55,1.2.4
MY,JV,Undirected,56,1.2.4
MY,MB,Undirected,57,1.2.4
JV,MB,Undirected,58,1.2.4
MY,JV,Undirected,59,1.2.4
MY,MB,Undirected,60,1.2.4
MY,ME,Undirected,61,1.2.4
JV,MB,Undirected,62,1.2.4
JV,ME,Undirected,63,1.2.4
MB,ME,Undirected,64,1.2.4
MY,MB,Undirected,65,1.2.5
MY,JV,Undirected,66,1.2.5
JV,JM,Undirected,67,1.2.6
JV,MD,Undirected,68,1.2.6
JV,IS,Undirected,69,1.2.6
PR,JV,Undirected,70,1.2.6
JM,JN,Undirected,71,1.2.6
JN,KD,Undirected,72,1.2.6
JV,DO,Undirected,73,1.2.9
MY,ME,Undirected,74,1.2.12
JV,TR,Undirected,75,1.2.12
JV,MY,Undirected,76,1.2.12
TR,MY,Undirected,77,1.2.12
MY,JV,Undirected,78,1.2.12
JV,PG,Undirected,79,1.2.13
JV,PH,Undirected,80,1.2.13
FT,LI,Undirected,81,1.3.3
FT,FA,Undirected,82,1.3.3
FT,BL,Undirected,83,1.3.3
FT,FV,Undirected,84,1.3.3
FT,DA,Undirected,85,1.3.3
FT,ZE,Undirected,86,1.3.3
FT,FN,Undirected,87,1.3.3
LI,FA,Undirected,88,1.3.3
LI,BL,Undirected,89,1.3.3
LI,FV,Undirected,90,1.3.3
LI,DA,Undirected,91,1.3.3
LI,ZE,Undirected,92,1.3.3
LI,FN,Undirected,93,1.3.3
FA,BL,Undirected,94,1.3.3
FA,FV,Undirected,95,1.3.3
FA,DA,Undirected,96,1.3.3
FA,ZE,Undirected,97,1.3.3
FA,FN,Undirected,98,1.3.3
BL,FV,Undirected,99,1.3.3
BL,DA,Undirected,100,1.3.3
BL,ZE,Undirected,101,1.3.3
BL,FN,Undirected,102,1.3.3
FV,DA,Undirected,103,1.3.3
FV,ZE,Undirected,104,1.3.3
FV,FN,Undirected,105,1.3.3
DA,ZE,Undirected,106,1.3.3
DA,FN,Undirected,107,1.3.3
ZE,FN,Undirected,108,1.3.3
FT,LI,Undirected,109,1.3.4
FT,FA,Undirected,110,1.3.4
FT,BL,Undirected,111,1.3.4
FT,FV,Undirected,112,1.3.4
FT,DA,Undirected,113,1.3.4
FT,ZE,Undirected,114,1.3.4
FT,FN,Undirected,115,1.3.4
LI,FA,Undirected,116,1.3.4
LI,BL,Undirected,117,1.3.4
LI,FV,Undirected,118,1.3.4
LI,DA,Undirected,119,1.3.4
LI,ZE,Undirected,120,1.3.4
LI,FN,Undirected,121,1.3.4
FA,BL,Undirected,122,1.3.4
FA,FV,Undirected,123,1.3.4
FA,DA,Undirected,124,1.3.4
FA,ZE,Undirected,125,1.3.4
FA,FN,Undirected,126,1.3.4
BL,FV,Undirected,127,1.3.4
BL,DA,Undirected,128,1.3.4
BL,ZE,Undirected,129,1.3.4
